[2021-03-27 17:52:07]: Path: save/1616881927/ is created
[2021-03-27 17:52:14]: Start train process.
[2021-03-27 18:22:47]: | epoch  10 |  1800/ 3494 batches | rec loss 0.3180 | dis loss 0.1470 |
[2021-03-27 18:22:56]: | epoch  10 |  2000/ 3494 batches | rec loss 0.3660 | dis loss 0.1765 |
[2021-03-27 18:23:06]: | epoch  10 |  2200/ 3494 batches | rec loss 0.2824 | dis loss 0.1648 |
[2021-03-27 18:23:16]: | epoch  10 |  2400/ 3494 batches | rec loss 0.2555 | dis loss 0.1408 |
[2021-03-27 18:23:25]: | epoch  10 |  2600/ 3494 batches | rec loss 0.3348 | dis loss 0.1967 |
[2021-03-27 18:23:35]: | epoch  10 |  2800/ 3494 batches | rec loss 0.3491 | dis loss 0.1826 |
[2021-03-27 18:23:45]: | epoch  10 |  3000/ 3494 batches | rec loss 0.3952 | dis loss 0.2430 |
[2021-03-27 18:23:55]: | epoch  10 |  3200/ 3494 batches | rec loss 0.3080 | dis loss 0.1588 |
[2021-03-27 18:24:04]: | epoch  10 |  3400/ 3494 batches | rec loss 0.2883 | dis loss 0.2242 |
[2021-03-27 18:24:09]: | end of epoch  10 | time: 169.83s |
[2021-03-27 18:24:09]: | epoch  11 |     0/ 3494 batches | rec loss 0.3989 | dis loss 0.2093 |
[2021-03-27 18:24:19]: | epoch  11 |   200/ 3494 batches | rec loss 0.3834 | dis loss 0.3186 |
[2021-03-27 18:24:29]: | epoch  11 |   400/ 3494 batches | rec loss 0.2908 | dis loss 0.2038 |
[2021-03-27 18:24:38]: | epoch  11 |   600/ 3494 batches | rec loss 0.3198 | dis loss 0.1235 |
[2021-03-27 18:24:48]: | epoch  11 |   800/ 3494 batches | rec loss 0.3629 | dis loss 0.1912 |
[2021-03-27 18:24:58]: | epoch  11 |  1000/ 3494 batches | rec loss 0.2855 | dis loss 0.1494 |
[2021-03-27 18:25:07]: | epoch  11 |  1200/ 3494 batches | rec loss 0.2756 | dis loss 0.1978 |
[2021-03-27 18:25:17]: | epoch  11 |  1400/ 3494 batches | rec loss 0.3174 | dis loss 0.1994 |
[2021-03-27 18:25:27]: | epoch  11 |  1600/ 3494 batches | rec loss 0.3280 | dis loss 0.1000 |
[2021-03-27 18:25:36]: | epoch  11 |  1800/ 3494 batches | rec loss 0.3254 | dis loss 0.1714 |
[2021-03-27 18:25:46]: | epoch  11 |  2000/ 3494 batches | rec loss 0.3301 | dis loss 0.1672 |
[2021-03-27 18:25:56]: | epoch  11 |  2200/ 3494 batches | rec loss 0.2803 | dis loss 0.1889 |
[2021-03-27 18:26:05]: | epoch  11 |  2400/ 3494 batches | rec loss 0.2687 | dis loss 0.1070 |
